,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
130909,53264514DE9983CD,electric_bike,2024-12-03 09:59:33.093,2024-12-03 10:59:39.429,,,,,40.76,-74.0,40.76,-74.0,member
130910,334A3D117D82100F,electric_bike,2024-12-11 19:26:54.430,2024-12-11 19:34:40.592,,,,,40.72,-74.0,40.72,-74.0,member
130911,0205D90943C028A3,electric_bike,2024-12-11 22:53:18.468,2024-12-11 22:59:56.924,,,,,40.72,-74.0,40.72,-74.0,member
130913,E29E1E3EA0050463,electric_bike,2024-12-06 15:24:17.501,2024-12-06 20:33:38.548,,,,,40.72,-74.0,40.71,-73.99,member
130916,9A071B7D9BA97315,electric_bike,2024-12-12 17:20:13.707,2024-12-12 18:14:33.193,,,,,40.71,-73.96,40.71,-73.96,member
130917,B530A72F000C030D,electric_bike,2024-12-02 19:30:12.598,2024-12-02 19:34:41.706,,,,,40.74,-73.98,40.74,-73.98,member
130919,19D6FDC5C9EEADBE,electric_bike,2024-12-08 06:09:38.777,2024-12-08 07:14:45.906,,,,,40.75,-73.94,40.75,-73.94,member
131331,3AF642ECF10F2CAE,electric_bike,2024-12-03 09:14:41.652,2024-12-03 09:17:47.164,,,,,40.76,-74.0,40.76,-74.0,member
131342,EF3D9B7C08A3FDD6,electric_bike,2024-12-10 18:03:45.239,2024-12-10 19:08:53.085,,,,,40.75,-73.99,40.75,-73.98,member
131344,00F0FD3A33257BFB,electric_bike,2024-12-08 17:19:36.943,2024-12-08 17:25:42.081,,,,,40.74,-73.98,40.74,-73.98,member
131355,8DA09384D1A5694B,electric_bike,2024-12-10 08:17:55.652,2024-12-10 09:51:40.171,,,,,40.76,-74.0,40.76,-74.0,casual
131356,E77DB6EDD442845E,electric_bike,2024-12-10 13:10:36.845,2024-12-10 13:23:22.461,,,,,40.76,-74.0,40.76,-74.0,casual
131359,A218633D2632C43E,electric_bike,2024-12-12 17:46:06.589,2024-12-12 17:47:51.684,,,E 74 St & 1 Ave,6953.08,40.77,-73.96,40.7689738,-73.95482273,member
131360,80D543A9053BE4C4,electric_bike,2024-12-11 09:32:48.798,2024-12-11 09:42:42.045,,,,,40.76,-74.0,40.76,-74.0,member
131364,64E35F9C7D2AF1D4,electric_bike,2024-12-02 07:56:50.888,2024-12-02 08:02:28.918,,,,,40.71,-74.01,40.71,-74.01,member
131383,5ECB64F745BFE3C9,electric_bike,2024-12-02 10:10:50.709,2024-12-02 10:13:13.166,,,,,40.76,-74.0,40.76,-74.0,casual
131384,8FF143C5E0D1D0F4,electric_bike,2024-12-03 12:30:27.572,2024-12-03 12:39:07.835,,,,,40.76,-74.0,40.76,-74.0,casual
131387,0FD6F44037EF7057,electric_bike,2024-12-09 11:11:10.812,2024-12-09 11:25:00.364,,,,,40.68,-73.91,40.69,-73.92,casual
131389,4B18268C4003C5F8,electric_bike,2024-12-08 08:13:26.133,2024-12-08 08:53:45.848,,,,,40.74,-73.98,40.74,-73.98,member
131393,24BC1BB79554E23A,electric_bike,2024-12-12 15:28:06.057,2024-12-12 16:10:21.062,,,,,40.73,-73.99,40.73,-73.99,member
131404,8B2930A8ED4876A1,electric_bike,2024-12-14 15:28:48.074,2024-12-14 15:36:15.363,,,,,40.75,-74.0,40.75,-74.0,casual
131405,0C897E727646E8BA,electric_bike,2024-12-02 12:10:45.927,2024-12-02 12:14:40.526,,,,,40.76,-74.0,40.76,-74.0,casual
131408,82873892CFA30C4D,electric_bike,2024-12-11 15:32:00.758,2024-12-11 15:39:14.774,,,,,40.72,-74.0,40.72,-74.0,member
132565,71814F9F5E1AEFF1,electric_bike,2024-12-12 17:22:59.177,2024-12-12 17:26:30.288,,,Huron St & Franklin St,5869.04,40.74,-73.95,40.73266,-73.95826,member
136062,C41435F6AC05702F,electric_bike,2024-12-05 15:05:39.741,2024-12-05 15:24:04.189,,,Ocean Ave & Tennis Ct,3223.07,40.67,-74.01,40.64873,-73.96084,member
137336,53353912732FE75F,electric_bike,2024-12-09 09:39:21.111,2024-12-09 09:51:32.820,,,Warren St & W Broadway,5288.09,40.69,-73.98,40.71473993,-74.00910627,member
145760,B948DF8AF175427B,electric_bike,2024-12-07 23:15:30.196,2024-12-07 23:22:50.419,,,Graham Ave & Conselyea St,5291.05,40.71,-73.93,40.715143,-73.944507,member
146365,75AC1D44B3382395,electric_bike,2024-12-03 16:58:46.458,2024-12-03 17:18:53.911,,,E 58 St & Madison Ave,6839.04,40.78,-73.97,40.76302594280519,-73.97209525108337,member
148602,396703A460DBF4E7,electric_bike,2024-12-06 12:19:22.863,2024-12-06 12:27:51.967,,,8 Ave & W 38 St,6526.05,40.74,-73.99,40.75461,-73.99177,member
150196,6CE2E56C51670F58,electric_bike,2024-12-07 12:19:34.194,2024-12-07 12:31:28.366,,,West Thames St,5114.06,40.75,-74.01,40.70834698,-74.01713445,member
150614,E64E5F150FD3067A,electric_bike,2024-12-13 07:25:30.505,2024-12-13 07:40:19.197,,,Broadway & Morris St,5033.01,40.74,-73.98,40.705945132708806,-74.01321887969969,member
152393,9F5AD5B395D02434,electric_bike,2024-12-10 12:05:39.054,2024-12-10 12:12:31.244,,,Henry St & Remsen St,4645.04,40.69,-74.0,40.69400964865994,-73.99465128779411,member
152950,A1BB49083110729E,electric_bike,2024-12-09 17:09:45.165,2024-12-09 17:36:34.605,,,W 54 St & 6 Ave,6771.13,40.72,-74.01,40.761865,-73.977242,member
152952,D11CF575AE5050FD,electric_bike,2024-12-01 16:27:26.345,2024-12-01 16:31:07.757,,,E 11 St & Ave B,5659.11,40.73,-73.99,40.72746420692392,-73.97950418293476,member
153912,BD45FE0F84A191D5,electric_bike,2024-12-03 00:22:36.048,2024-12-03 00:25:43.274,,,E 43 St & Madison Ave,6551.11,40.76,-73.98,40.75354681867074,-73.97896572947502,member
153922,C34166C4541C67AF,electric_bike,2024-12-06 18:19:57.750,2024-12-06 18:27:20.265,,,Madison St & Clinton St,5190.07,40.71,-73.98,40.71269042,-73.98776323,member
157553,03CCE766D96E008B,electric_bike,2024-12-13 20:32:56.627,2024-12-13 20:55:17.446,,,W 37 St & 10 Ave,6611.02,40.76,-73.98,40.75660359,-73.9979009,member
159290,B8BB281BD3904B58,electric_bike,2024-12-12 18:50:08.680,2024-12-12 19:04:58.575,,,1 Ave & E 68 St,6822.09,40.74,-73.98,40.76500525,-73.95818491,member
172175,C5E8E5CDC0A87BC4,electric_bike,2024-12-03 08:20:44.304,2024-12-03 08:40:08.319,,,E 56 St & 3 Ave,6691.11,40.8,-73.97,40.75934501,-73.96759673,member
177386,07AD6446392A5074,electric_bike,2024-12-08 07:31:09.912,2024-12-08 07:50:56.837,,,Amsterdam Ave & W 172 St,8242.04,40.83,-73.9,40.842173,-73.935111,casual
181127,2C90AADCDDD385D7,electric_bike,2024-12-08 10:57:52.790,2024-12-08 11:07:13.856,,,E 89 St & York Ave,7204.08,40.78,-73.95,40.7779453,-73.946041,member
181213,A9E21148DBAB2233,electric_bike,2024-12-12 18:50:41.009,2024-12-12 19:01:18.313,,,Washington St & Laight St,5509.02,40.71,-74.01,40.72231,-74.0106,member
181234,05078EFE7FF8D3F8,electric_bike,2024-12-12 17:26:34.911,2024-12-12 17:35:01.486,,,Henry St & Grand St,5294.04,40.73,-73.99,40.714211,-73.981095,casual
193210,FA7DF5371BBE7E16,electric_bike,2024-12-10 14:14:11.615,2024-12-10 14:25:02.949,,,Dean St & Franklin Ave,4107.13,40.69,-73.98,40.67759206937376,-73.955637216568,member
195841,30B76D4476012643,electric_bike,2024-12-12 18:56:39.855,2024-12-12 19:01:44.099,,,E 16 St & Irving Pl,5938.11,40.74,-74.0,40.735367055605394,-73.98797392845154,member
195846,97C24305C89BFDBF,electric_bike,2024-12-12 16:03:39.007,2024-12-12 16:06:07.890,,,W 51 St & 7 Ave,6779.07,40.76,-73.98,40.76167,-73.98256,member
