,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
68467,6749FEA8505B54C5,electric_bike,2024-12-12 15:32:32.188,2024-12-12 15:55:06.320,W 15 St & 10 Ave,6115.09,,,40.742753828659026,-74.00747358798981,40.76,-74.0,casual
68470,57F05AF9B895B732,electric_bike,2024-12-12 14:18:41.210,2024-12-12 14:58:12.653,W 15 St & 10 Ave,6115.09,,,40.742753828659026,-74.00747358798981,40.76,-74.0,casual
68481,1047CCB837F59F22,electric_bike,2024-12-12 07:45:56.059,2024-12-12 07:53:31.296,W 147 St & Adam Clayton Powell Blvd,7971.07,,,40.82281,-73.937413,40.82,-73.95,member
68497,86824D092BC2608D,electric_bike,2024-12-12 12:44:16.825,2024-12-12 13:06:34.871,E 65 St & 2 Ave,6860.12,,,40.76471851944339,-73.96222069859505,40.76,-73.96,member
68642,0D2F96F9D5D665F2,electric_bike,2024-12-12 15:42:04.135,2024-12-12 15:46:56.018,E 17 St & Broadway,5980.10,E 22 St & 2 Ave,,40.737006,-73.990134,40.74,-73.98,member
68923,CEC13B29F5C2B1DF,electric_bike,2024-12-12 14:17:59.920,2024-12-12 14:36:17.099,W 4 St & 7 Ave S,5880.02,E Houston St & Columbia St,,40.73401143,-74.00293877,40.72,-73.98,member
70277,9D3F7F8D95B1AFCA,electric_bike,2024-12-12 16:56:42.544,2024-12-12 17:30:06.241,W 50 St & 10 Ave,6890.06,W 63 St & Broadway,,40.764734200065185,-73.99194359779358,40.77,-73.98,member
70453,2D64CE6BD17B5462,electric_bike,2024-12-12 13:02:58.158,2024-12-12 13:08:22.963,St Marks Pl & 1 Ave,5626.13,E 20 St & Park Ave,,40.72779126,-73.98564945,40.74,-73.99,member
71137,791737FD764BD1DF,electric_bike,2024-12-12 12:58:59.057,2024-12-12 13:05:51.253,7 Ave & Park Pl,4125.07,Maple St & Flatbush Ave,,40.6776147,-73.97324283,40.66,-73.96,member
71318,EF2240CC647B107F,electric_bike,2024-12-12 12:52:45.080,2024-12-12 13:09:13.950,E 53 St & Madison Ave,6659.03,E 88 St & Park Ave,,40.7597108,-73.97402311,40.78,-73.96,member
72001,26CF2ECD4C7CEB10,electric_bike,2024-12-05 09:48:06.425,2024-12-05 09:56:25.705,Norfolk St & Broome St,5374.01,Reade St & Broadway,,40.7172274,-73.98802084,40.71,-74.01,member
72083,9BD831DC90E96850,electric_bike,2024-12-12 15:05:06.196,2024-12-12 15:16:41.889,Myrtle Ave & Fleet Pl,4628.07,Clinton Ave & Myrtle Ave,,40.693534,-73.981909,40.69,-73.97,member
72641,43D9FBC8DB9F8760,electric_bike,2024-12-12 13:41:21.684,2024-12-12 14:06:15.019,E 56 St & Madison Ave,6732.01,E 77 St & 3 Ave,,40.761573,-73.972628,40.77,-73.96,member
73849,2B3180BB9FF050ED,electric_bike,2024-12-12 15:04:54.088,2024-12-12 15:10:23.439,Paul Ave & W 205 St,8782.01,Jerome Ave & Bedford Park Blvd E,,40.87704,-73.88943,40.87,-73.89,casual
74116,10CCD8EB86D713A2,electric_bike,2024-12-05 07:48:52.431,2024-12-05 07:55:54.811,8 St & Astoria Blvd,7068.07,31 St & Broadway,,40.7725996921817,-73.93266275525093,40.76,-73.93,member
74374,FB20B6DD378A17F9,electric_bike,2024-12-04 21:35:26.893,2024-12-04 21:45:53.936,29 St & Skillman Ave,6194.06,31 St & Broadway,,40.744831,-73.938411,40.76,-73.93,member
78290,A888DA2212193C52,electric_bike,2024-12-12 14:33:28.067,2024-12-12 14:39:52.608,5 Ave & E 103 St,7511.19,E 91 St & 2 Ave,,40.7922553,-73.95249933,40.78,-73.95,casual
78809,AB3E4364B8AC31B8,electric_bike,2024-12-12 15:57:01.881,2024-12-12 15:59:58.454,West End Ave & W 60 St,7059.08,Riverside Blvd & W 67 St,,40.77237,-73.99005,40.78,-73.99,member
